date,headline,source,summary
2024-09-11,Credit Rating by CRISIL and CARE,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-09-11,Investor / Analysts meet arranged by BofA Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-11,Investor interaction arranged by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-12,Rating by S&P Global,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-09-13,Investor interaction organised by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-16,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-09-17,Investor interaction arranged by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-18,Bidding Update,BSE,Bidding Update
2024-09-18,Investor interaction by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-18,Press Release: Tier 2 Bond Issuance,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-09-19,Investor interaction by BofA,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-20,Allotment of Basel III Compliant Tier 2 Bonds,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-09-23,Investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-09-26,Intimation of closure of Trading Window,BSE,Closure of Trading Window
2024-09-27,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-09-27,Appointment of Statutory Central Auditors,BSE,Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
2024-10-01,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-10-03,Credit opinion update by Moody,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-10-09,"Certificate under Reg. 74(5) of SEBI (DP) Regulations, 2018",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-10-10,Loss of share certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-10-15,Rating by CRISIL and CARE,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-10-17,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-10-17,Newspaper publication for loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-10-18,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 08/11/2024 ,inter alia, to consider and approve financial results for the quarter/ ....",BSE,Board Meeting Intimation for Adoption Of Financial Results For Q2 FY25
2024-10-18,Analyst meet post Q2FY25 Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-10-23,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-10-23,Signing of EURO 150 million KfW Line of Credit,BSE,Signing Of EURO 150 Million Kfw Line Of Credit For Financing Climate Friendly Energy Generation Projects
2024-10-23,Bidding update,BSE,Update On Bidding For The Bank'S Basel III Compliant Additional Tier 1 Bond Issuance
2024-10-24,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
